Day,Sold Units,Restocked Units,Available Units
0,0,0,2000
1,35,0,1965
2,186,0,1779
3,5,0,1774
4,164,0,1610
5,61,0,1549
6,200,0,1349
7,0,651,2000
8,139,0,1861
9,50,0,1811
10,18,0,1793
11,146,0,1647
12,67,0,1580
13,192,0,1388
14,0,612,2000
15,8,0,1992
16,124,0,1868
17,176,0,1692
18,191,0,1501
19,50,0,1451
20,141,0,1310
21,0,690,2000
22,73,0,1927
23,168,0,1759
24,53,0,1706
25,121,0,1585
26,186,0,1399
27,180,0,1219
28,0,781,2000
29,166,0,1834
30,3,0,1831
31,69,0,1762
32,197,0,1565
33,176,0,1389
34,133,0,1256
35,0,744,2000
36,26,0,1974
37,120,0,1854
38,123,0,1731
39,108,0,1623
40,171,0,1452
41,171,0,1281
42,0,719,2000
43,16,0,1984
44,10,0,1974
45,43,0,1931
46,193,0,1738
47,146,0,1592
48,101,0,1491
49,0,509,2000
